ID,Category,Template or Route / State,Reader Purpose,Completion Status,Remaining Gap / Next Action
HTH-TPL-104,E. Archive and discovery,General archive,Browse a broad collection with purpose-led introduction,Implemented via templates/archive.html — specialization required,"Create specialization or shared variation; preserve dates, evidence, conditions and review status."
HTH-TPL-105,E. Archive and discovery,Species archive,"Browse species by habitat, season and technique",Defined — implementation required,"Create specialization or shared variation; preserve dates, evidence, conditions and review status."
HTH-TPL-106,E. Archive and discovery,Technique archive,"Choose techniques by water, presentation and skill",Defined — implementation required,"Create specialization or shared variation; preserve dates, evidence, conditions and review status."
HTH-TPL-107,E. Archive and discovery,Gear archive,Browse systems and verdicts,Defined — implementation required,"Create specialization or shared variation; preserve dates, evidence, conditions and review status."
HTH-TPL-108,E. Archive and discovery,Gear-category archive,Browse a specific equipment category without product-wall behavior,Defined — implementation required,"Create specialization or shared variation; preserve dates, evidence, conditions and review status."
HTH-TPL-109,E. Archive and discovery,Water-type archive,Browse privacy-safe water types,Defined — implementation required,"Create specialization or shared variation; preserve dates, evidence, conditions and review status."
HTH-TPL-110,E. Archive and discovery,Condition archive,Browse condition-based guidance without fake live data,Defined — implementation required,"Create specialization or shared variation; preserve dates, evidence, conditions and review status."
HTH-TPL-111,E. Archive and discovery,Season archive,Navigate seasonal preparation with freshness controls,Defined — implementation required,"Create specialization or shared variation; preserve dates, evidence, conditions and review status."
HTH-TPL-112,E. Archive and discovery,Region archive,Browse public-safe regions,Defined — implementation required,"Create specialization or shared variation; preserve dates, evidence, conditions and review status."
HTH-TPL-113,E. Archive and discovery,Field-report archive,Browse field reports by condition and evidence status,Defined — implementation required,"Create specialization or shared variation; preserve dates, evidence, conditions and review status."
HTH-TPL-114,E. Archive and discovery,Review archive,Browse gear verdicts and testing status,Defined — implementation required,"Create specialization or shared variation; preserve dates, evidence, conditions and review status."
HTH-TPL-115,E. Archive and discovery,Comparison archive,Browse comparison and compatibility work,Defined — implementation required,"Create specialization or shared variation; preserve dates, evidence, conditions and review status."
HTH-TPL-116,E. Archive and discovery,Application archive,Browse current applications by task,Defined — implementation required,"Create specialization or shared variation; preserve dates, evidence, conditions and review status."
HTH-TPL-117,E. Archive and discovery,Resource archive,Browse print/download resources,Defined — implementation required,"Create specialization or shared variation; preserve dates, evidence, conditions and review status."
HTH-TPL-118,E. Archive and discovery,Featured-content view,Show editor-selected priority work,Defined — implementation required,"Create specialization or shared variation; preserve dates, evidence, conditions and review status."
HTH-TPL-119,E. Archive and discovery,Latest-content view,Show chronological work without becoming the only discovery mode,Defined — implementation required,"Create specialization or shared variation; preserve dates, evidence, conditions and review status."
HTH-TPL-120,E. Archive and discovery,Curated collection,Present a coherent editorial set,Defined — implementation required,"Create specialization or shared variation; preserve dates, evidence, conditions and review status."
HTH-TPL-121,E. Archive and discovery,Archive empty state,Explain an intentionally empty collection,Defined — implementation required,"Create specialization or shared variation; preserve dates, evidence, conditions and review status."
HTH-TPL-122,E. Archive and discovery,Archive filtered state,Show active filters and clear path,Defined — implementation required,"Create specialization or shared variation; preserve dates, evidence, conditions and review status."
HTH-TPL-123,E. Archive and discovery,Archive no-match state,Recover from filters with no results,Defined — implementation required,"Create specialization or shared variation; preserve dates, evidence, conditions and review status."
