ID,Category,Template or Route / State,Reader Purpose,Completion Status,Remaining Gap / Next Action
HTH-TPL-053,C. Institutional and trust pages,About,"Explain publication promise, method, people and boundaries",Content exists or is planned — route-level visual mapping required,"Confirm current page status, map to institutional variation, and apply v3 visual system."
HTH-TPL-054,C. Institutional and trust pages,Start Here,Give a new reader a task-led entry path,Content exists or is planned — route-level visual mapping required,"Confirm current page status, map to institutional variation, and apply v3 visual system."
HTH-TPL-055,C. Institutional and trust pages,Contact,Provide clear contact routes and response expectations,Content exists or is planned — route-level visual mapping required,"Confirm current page status, map to institutional variation, and apply v3 visual system."
HTH-TPL-056,C. Institutional and trust pages,Editorial Methodology,"Explain field testing, evidence, corrections, privacy, safety and affiliate boundaries",Content exists or is planned — route-level visual mapping required,"Confirm current page status, map to institutional variation, and apply v3 visual system."
HTH-TPL-057,C. Institutional and trust pages,Contributor Methodology,State experience basis and role without inflated authority,Content exists or is planned — route-level visual mapping required,"Confirm current page status, map to institutional variation, and apply v3 visual system."
HTH-TPL-058,C. Institutional and trust pages,Corrections,Explain correction process and show material corrections,Content exists or is planned — route-level visual mapping required,"Confirm current page status, map to institutional variation, and apply v3 visual system."
HTH-TPL-059,C. Institutional and trust pages,Accessibility,"State commitment, known limits and contact route",Content exists or is planned — route-level visual mapping required,"Confirm current page status, map to institutional variation, and apply v3 visual system."
HTH-TPL-060,C. Institutional and trust pages,Privacy,Describe actual data handling and controls,Content exists or is planned — route-level visual mapping required,"Confirm current page status, map to institutional variation, and apply v3 visual system."
HTH-TPL-061,C. Institutional and trust pages,Terms,State current terms appropriate to enabled products and services,Content exists or is planned — route-level visual mapping required,"Confirm current page status, map to institutional variation, and apply v3 visual system."
HTH-TPL-062,C. Institutional and trust pages,Disclosure,"Explain commercial, AI and editorial disclosure practices",Content exists or is planned — route-level visual mapping required,"Confirm current page status, map to institutional variation, and apply v3 visual system."
HTH-TPL-063,C. Institutional and trust pages,Affiliate Disclosure,Explain affiliate relationships without interrupting ordinary editorial flow,Content exists or is planned — route-level visual mapping required,"Confirm current page status, map to institutional variation, and apply v3 visual system."
HTH-TPL-064,C. Institutional and trust pages,Advertising / Partnerships,Define sponsorship and partnership standards,Content exists or is planned — route-level visual mapping required,"Confirm current page status, map to institutional variation, and apply v3 visual system."
HTH-TPL-065,C. Institutional and trust pages,Stewardship,Define conservation and responsible field behavior,Content exists or is planned — route-level visual mapping required,"Confirm current page status, map to institutional variation, and apply v3 visual system."
HTH-TPL-066,C. Institutional and trust pages,Safety Methodology,"Explain safety boundaries, preparation and emergency limits",Content exists or is planned — route-level visual mapping required,"Confirm current page status, map to institutional variation, and apply v3 visual system."
HTH-TPL-067,C. Institutional and trust pages,Regulation Methodology,"Explain jurisdiction, freshness and direct-verification requirements",Content exists or is planned — route-level visual mapping required,"Confirm current page status, map to institutional variation, and apply v3 visual system."
HTH-TPL-068,C. Institutional and trust pages,Location-Privacy Methodology,"Explain generalization, delays and suppression",Content exists or is planned — route-level visual mapping required,"Confirm current page status, map to institutional variation, and apply v3 visual system."
HTH-TPL-069,C. Institutional and trust pages,Source and Evidence Methodology,"Explain evidence classes, dates, conflicts and unknowns",Content exists or is planned — route-level visual mapping required,"Confirm current page status, map to institutional variation, and apply v3 visual system."
HTH-TPL-070,C. Institutional and trust pages,Related-Publication Explanation,Explain optional ecosystem continuations,Content exists or is planned — route-level visual mapping required,"Confirm current page status, map to institutional variation, and apply v3 visual system."
HTH-TPL-071,C. Institutional and trust pages,Sitemap / Navigation Directory,Expose the complete information architecture,Content exists or is planned — route-level visual mapping required,"Confirm current page status, map to institutional variation, and apply v3 visual system."
