ID,Category,Template or Route / State,Reader Purpose,Completion Status,Remaining Gap / Next Action
HTH-TPL-072,D. Editorial and publication-specific,Long-form feature,Deliver immersive authored reporting with evidence and visual pacing,Defined — implementation required,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-073,D. Editorial and publication-specific,Standard article,Answer a specific question clearly,Defined — implementation required,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-074,D. Editorial and publication-specific,Visual story,Use coordinated imagery and concise text to show a field sequence,Defined — implementation required,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-075,D. Editorial and publication-specific,Case study,"Document a bounded situation, method, result and limitation",Defined — implementation required,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-076,D. Editorial and publication-specific,Diagnostic article,Help a reader identify variables before choosing an action,Defined — implementation required,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-077,D. Editorial and publication-specific,Comparison article,"Compare systems, evidence and tradeoffs",Defined — implementation required,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-078,D. Editorial and publication-specific,Field report,"Show conditions, setup, observations, failures and limits",Defined in canonical template catalog — file/pattern completion varies,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-079,D. Editorial and publication-specific,Water reading,"Interpret current, depth, structure, weather and visibility without fake live data",Defined in canonical template catalog — file/pattern completion varies,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-080,D. Editorial and publication-specific,Gear verdict / review,"Evaluate product identity, test method, compatibility, wear, limits and value",Defined in canonical template catalog — file/pattern completion varies,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-081,D. Editorial and publication-specific,Gear system guide,Explain rod/reel/line/lure relationships as a system,Defined — implementation required,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-082,D. Editorial and publication-specific,Comparison lab,Support structured multi-system comparison,Defined in canonical template catalog — file/pattern completion varies,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-083,D. Editorial and publication-specific,Species profile,"Support identification, habitat, season, handling, conservation and regulation",Defined in canonical template catalog — file/pattern completion varies,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-084,D. Editorial and publication-specific,Technique clinic,"Teach setup, sequence, cues, failures and adaptations",Defined in canonical template catalog — file/pattern completion varies,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-085,D. Editorial and publication-specific,Rig breakdown,"Show component list, connection logic, ratings and failure checks",Defined in canonical template catalog — file/pattern completion varies,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
