ID,Category,Template or Route / State,Reader Purpose,Completion Status,Remaining Gap / Next Action
HTH-TPL-027,B. Core WordPress templates,Index,Catch-all route when no more specific template resolves,Implemented — needs v3 visual reconciliation,"Update current file to v3 tokens, typography, logo and composition."
HTH-TPL-028,B. Core WordPress templates,Front page,"Establish promise, visual identity, primary pathways and current work",Implemented — needs v3 visual reconciliation,"Update current file to v3 tokens, typography, logo and composition."
HTH-TPL-029,B. Core WordPress templates,Posts / journal home,Browse current field stories and updates,Defined — shared fallback or new variation required,Map to a deliberate template/variation and document the fallback.
HTH-TPL-030,B. Core WordPress templates,Default page,Render ordinary pages with Hook hierarchy,Implemented — needs v3 visual reconciliation,"Update current file to v3 tokens, typography, logo and composition."
HTH-TPL-031,B. Core WordPress templates,Default single post,Render standard editorial posts,Implemented — needs v3 visual reconciliation,"Update current file to v3 tokens, typography, logo and composition."
HTH-TPL-032,B. Core WordPress templates,Full-width page,Support immersive or complex pages,Defined — shared fallback or new variation required,Map to a deliberate template/variation and document the fallback.
HTH-TPL-033,B. Core WordPress templates,Narrow reading page,Support focused long-form reading,Defined — shared fallback or new variation required,Map to a deliberate template/variation and document the fallback.
HTH-TPL-034,B. Core WordPress templates,Landing page,Convert around one reader job without generic funnel composition,Defined — shared fallback or new variation required,Map to a deliberate template/variation and document the fallback.
HTH-TPL-035,B. Core WordPress templates,Campaign page,Support time-bound initiative or launch,Defined — shared fallback or new variation required,Map to a deliberate template/variation and document the fallback.
HTH-TPL-036,B. Core WordPress templates,Parent page,Introduce a section and child pathways,Defined — shared fallback or new variation required,Map to a deliberate template/variation and document the fallback.
HTH-TPL-037,B. Core WordPress templates,Child page,Complete a specific subtask in a section,Defined — shared fallback or new variation required,Map to a deliberate template/variation and document the fallback.
HTH-TPL-038,B. Core WordPress templates,Page with local navigation,Support multi-page guides and methods,Defined — shared fallback or new variation required,Map to a deliberate template/variation and document the fallback.
HTH-TPL-039,B. Core WordPress templates,Attachment / media,Provide accessible media context or redirect intentionally,Defined — shared fallback or new variation required,Map to a deliberate template/variation and document the fallback.
HTH-TPL-040,B. Core WordPress templates,Category archive,Browse a meaningful editorial category,Defined — shared fallback or new variation required,Map to a deliberate template/variation and document the fallback.
HTH-TPL-041,B. Core WordPress templates,Tag archive,Browse a controlled tag without thin SEO pages,Defined — shared fallback or new variation required,Map to a deliberate template/variation and document the fallback.
HTH-TPL-042,B. Core WordPress templates,Date archive,Browse chronological records when useful,Defined — shared fallback or new variation required,Map to a deliberate template/variation and document the fallback.
HTH-TPL-043,B. Core WordPress templates,Author archive,Browse contributor work with methodology context,Defined — shared fallback or new variation required,Map to a deliberate template/variation and document the fallback.
HTH-TPL-044,B. Core WordPress templates,Taxonomy archive,Browse domain taxonomy with purpose-led filtering,Defined — shared fallback or new variation required,Map to a deliberate template/variation and document the fallback.
HTH-TPL-045,B. Core WordPress templates,Custom post type archive,Browse a governed content type,Defined — shared fallback or new variation required,Map to a deliberate template/variation and document the fallback.
HTH-TPL-046,B. Core WordPress templates,Search results,Find useful content across editorial and applications,Implemented — needs v3 visual reconciliation,"Update current file to v3 tokens, typography, logo and composition."
HTH-TPL-047,B. Core WordPress templates,Filtered search results,"Refine by content type, species, water, technique or status",Defined — shared fallback or new variation required,Map to a deliberate template/variation and document the fallback.
HTH-TPL-048,B. Core WordPress templates,No-results search,Recover with suggestions and pathways,Defined — shared fallback or new variation required,Map to a deliberate template/variation and document the fallback.
HTH-TPL-049,B. Core WordPress templates,404,Recover from a missing route,Implemented — needs v3 visual reconciliation,"Update current file to v3 tokens, typography, logo and composition."
HTH-TPL-050,B. Core WordPress templates,Password-protected content,Explain access and present accessible form,Defined — shared fallback or new variation required,Map to a deliberate template/variation and document the fallback.
HTH-TPL-051,B. Core WordPress templates,Private-content state,Prevent leakage and explain access boundary,Defined — shared fallback or new variation required,Map to a deliberate template/variation and document the fallback.
HTH-TPL-052,B. Core WordPress templates,Preview state,Show draft status without altering public behavior,Defined — shared fallback or new variation required,Map to a deliberate template/variation and document the fallback.
