ID,Category,Template or Route / State,Reader Purpose,Completion Status,Remaining Gap / Next Action
HTH-TPL-155,G. WooCommerce and commercial,Shop landing,Orient products/resources without replacing editorial identity,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-156,G. WooCommerce and commercial,Product archive,Browse commercial offerings with filters,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-157,G. WooCommerce and commercial,Product-category archive,Browse a category,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-158,G. WooCommerce and commercial,Product-tag archive,Browse a controlled product tag,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-159,G. WooCommerce and commercial,Product-attribute archive,Browse a meaningful product attribute,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-160,G. WooCommerce and commercial,Product search,Find products and recover from no match,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-161,G. WooCommerce and commercial,No-products state,Recover with categories/resources,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-162,G. WooCommerce and commercial,Single product,"Evaluate offer, delivery, trust and fit",WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-163,G. WooCommerce and commercial,Simple product,Purchase a single fixed product,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-164,G. WooCommerce and commercial,Variable product,Select a variation with clear availability,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-165,G. WooCommerce and commercial,Grouped product,Compare grouped products when enabled,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-166,G. WooCommerce and commercial,External / affiliate product,Disclose external purchase path,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-167,G. WooCommerce and commercial,Digital / downloadable product,"Explain format, delivery, license and support",WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-168,G. WooCommerce and commercial,Sale state,Show truthful price context without manufactured urgency,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-169,G. WooCommerce and commercial,Out-of-stock state,Explain unavailability and alternatives,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-170,G. WooCommerce and commercial,Backorder state,Explain timing and consent,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-171,G. WooCommerce and commercial,Product gallery,Show accurate product/media evidence,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-172,G. WooCommerce and commercial,Product information tabs,"Organize description, details, delivery and support",WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-173,G. WooCommerce and commercial,Product reviews,Show verified review behavior only when enabled,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-174,G. WooCommerce and commercial,Related products,Offer genuinely relevant alternatives,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-175,G. WooCommerce and commercial,Upsells / cross-sells,Support the reader job without pressure,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-176,G. WooCommerce and commercial,Mini cart,Review cart from any route,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
