ID,Category,Template or Route / State,Reader Purpose,Completion Status,Remaining Gap / Next Action
HTH-TPL-203,"H. Newsletter, lead generation and distribution",Newsletter landing page,Explain publication-specific subscription value,Platform capability active — v3 design and state mapping required,"Create reusable email/derivative tokens, templates and crop rules; validate dark-mode email fallback."
HTH-TPL-204,"H. Newsletter, lead generation and distribution",Inline newsletter signup,Capture after a meaningful value event,Platform capability active — v3 design and state mapping required,"Create reusable email/derivative tokens, templates and crop rules; validate dark-mode email fallback."
HTH-TPL-205,"H. Newsletter, lead generation and distribution",Footer signup,Offer ongoing field updates,Platform capability active — v3 design and state mapping required,"Create reusable email/derivative tokens, templates and crop rules; validate dark-mode email fallback."
HTH-TPL-206,"H. Newsletter, lead generation and distribution",Modal signup,Provide optional authorized capture without interruption,Platform capability active — v3 design and state mapping required,"Create reusable email/derivative tokens, templates and crop rules; validate dark-mode email fallback."
HTH-TPL-207,"H. Newsletter, lead generation and distribution",Signup confirmation,Confirm submission and next step,Platform capability active — v3 design and state mapping required,"Create reusable email/derivative tokens, templates and crop rules; validate dark-mode email fallback."
HTH-TPL-208,"H. Newsletter, lead generation and distribution",Double-opt-in message,Explain verification requirement,Platform capability active — v3 design and state mapping required,"Create reusable email/derivative tokens, templates and crop rules; validate dark-mode email fallback."
HTH-TPL-209,"H. Newsletter, lead generation and distribution",Success state,Confirm subscription,Platform capability active — v3 design and state mapping required,"Create reusable email/derivative tokens, templates and crop rules; validate dark-mode email fallback."
HTH-TPL-210,"H. Newsletter, lead generation and distribution",Already-subscribed state,Avoid duplicate/error framing,Platform capability active — v3 design and state mapping required,"Create reusable email/derivative tokens, templates and crop rules; validate dark-mode email fallback."
HTH-TPL-211,"H. Newsletter, lead generation and distribution",Validation error,Associate errors with fields,Platform capability active — v3 design and state mapping required,"Create reusable email/derivative tokens, templates and crop rules; validate dark-mode email fallback."
HTH-TPL-212,"H. Newsletter, lead generation and distribution",Unsubscribe,Allow simple exit,Platform capability active — v3 design and state mapping required,"Create reusable email/derivative tokens, templates and crop rules; validate dark-mode email fallback."
HTH-TPL-213,"H. Newsletter, lead generation and distribution",Preferences,Manage topics/frequency when available,Platform capability active — v3 design and state mapping required,"Create reusable email/derivative tokens, templates and crop rules; validate dark-mode email fallback."
HTH-TPL-214,"H. Newsletter, lead generation and distribution",Lead-magnet landing,Deliver a specific resource promise,Platform capability active — v3 design and state mapping required,"Create reusable email/derivative tokens, templates and crop rules; validate dark-mode email fallback."
HTH-TPL-215,"H. Newsletter, lead generation and distribution",Lead-magnet confirmation,Confirm delivery path,Platform capability active — v3 design and state mapping required,"Create reusable email/derivative tokens, templates and crop rules; validate dark-mode email fallback."
HTH-TPL-216,"H. Newsletter, lead generation and distribution",Download delivery,Provide accessible file and fallback,Platform capability active — v3 design and state mapping required,"Create reusable email/derivative tokens, templates and crop rules; validate dark-mode email fallback."
HTH-TPL-217,"H. Newsletter, lead generation and distribution",Campaign landing,Support coordinated campaign route,Platform capability active — v3 design and state mapping required,"Create reusable email/derivative tokens, templates and crop rules; validate dark-mode email fallback."
HTH-TPL-218,"H. Newsletter, lead generation and distribution",Editorial email,Deliver readable publication-owned email,Platform capability active — v3 design and state mapping required,"Create reusable email/derivative tokens, templates and crop rules; validate dark-mode email fallback."
HTH-TPL-219,"H. Newsletter, lead generation and distribution",Automated email,Carry the same identity and truthful state,Platform capability active — v3 design and state mapping required,"Create reusable email/derivative tokens, templates and crop rules; validate dark-mode email fallback."
HTH-TPL-220,"H. Newsletter, lead generation and distribution",Social-share image,Communicate article identity in social feeds,Platform capability active — v3 design and state mapping required,"Create reusable email/derivative tokens, templates and crop rules; validate dark-mode email fallback."
HTH-TPL-221,"H. Newsletter, lead generation and distribution",Open Graph image,Provide reliable link preview,Platform capability active — v3 design and state mapping required,"Create reusable email/derivative tokens, templates and crop rules; validate dark-mode email fallback."
HTH-TPL-222,"H. Newsletter, lead generation and distribution",Pinterest image,Use vertical crop and legible title,Platform capability active — v3 design and state mapping required,"Create reusable email/derivative tokens, templates and crop rules; validate dark-mode email fallback."
HTH-TPL-223,"H. Newsletter, lead generation and distribution",Video thumbnail,Signal topic and action without clickbait,Platform capability active — v3 design and state mapping required,"Create reusable email/derivative tokens, templates and crop rules; validate dark-mode email fallback."
HTH-TPL-224,"H. Newsletter, lead generation and distribution",Downloadable PDF / field card,Preserve print and mobile utility,Platform capability active — v3 design and state mapping required,"Create reusable email/derivative tokens, templates and crop rules; validate dark-mode email fallback."
