ID,Category,Template or Route / State,Reader Purpose,Completion Status,Remaining Gap / Next Action
HTH-TPL-225,"I. Error, maintenance and system states",400 / invalid request,Explain invalid input and return path,Defined — platform/theme mapping required,Map host/plugin error path where available; create theme fallback and test without exposing internals.
HTH-TPL-226,"I. Error, maintenance and system states",401 / sign-in required,Explain authentication need,Defined — platform/theme mapping required,Map host/plugin error path where available; create theme fallback and test without exposing internals.
HTH-TPL-227,"I. Error, maintenance and system states",403 / permission denied,Explain access boundary without leaking private data,Defined — platform/theme mapping required,Map host/plugin error path where available; create theme fallback and test without exposing internals.
HTH-TPL-228,"I. Error, maintenance and system states",404,Recover missing route,Implemented — needs v3 refinement,Map host/plugin error path where available; create theme fallback and test without exposing internals.
HTH-TPL-229,"I. Error, maintenance and system states",410 / retired content,Explain retirement and replacement route,Defined — platform/theme mapping required,Map host/plugin error path where available; create theme fallback and test without exposing internals.
HTH-TPL-230,"I. Error, maintenance and system states",429 / rate limited,Explain temporary limit and retry,Defined — platform/theme mapping required,Map host/plugin error path where available; create theme fallback and test without exposing internals.
HTH-TPL-231,"I. Error, maintenance and system states",500-level error,Explain service failure and support/retry path,Defined — platform/theme mapping required,Map host/plugin error path where available; create theme fallback and test without exposing internals.
HTH-TPL-232,"I. Error, maintenance and system states",Maintenance mode,Explain temporary maintenance,Defined — platform/theme mapping required,Map host/plugin error path where available; create theme fallback and test without exposing internals.
HTH-TPL-233,"I. Error, maintenance and system states",Coming soon,Set truthful expectation without fake launch urgency,Defined — platform/theme mapping required,Map host/plugin error path where available; create theme fallback and test without exposing internals.
HTH-TPL-234,"I. Error, maintenance and system states",Offline,Explain network state and local capability,Defined — platform/theme mapping required,Map host/plugin error path where available; create theme fallback and test without exposing internals.
HTH-TPL-235,"I. Error, maintenance and system states",Degraded service,Show partial functionality and affected features,Defined — platform/theme mapping required,Map host/plugin error path where available; create theme fallback and test without exposing internals.
HTH-TPL-236,"I. Error, maintenance and system states",Form submission failure,Preserve inputs and explain recovery,Defined — platform/theme mapping required,Map host/plugin error path where available; create theme fallback and test without exposing internals.
HTH-TPL-237,"I. Error, maintenance and system states",Integration failure,Explain third-party failure without exposing internals,Defined — platform/theme mapping required,Map host/plugin error path where available; create theme fallback and test without exposing internals.
HTH-TPL-238,"I. Error, maintenance and system states",Missing-data state,Show missing evidence and next verification,Defined — platform/theme mapping required,Map host/plugin error path where available; create theme fallback and test without exposing internals.
HTH-TPL-239,"I. Error, maintenance and system states",Stale-data state,Show review date and refresh need,Defined — platform/theme mapping required,Map host/plugin error path where available; create theme fallback and test without exposing internals.
HTH-TPL-240,"I. Error, maintenance and system states",Unsupported browser,Explain minimum capability and alternatives,Defined — platform/theme mapping required,Map host/plugin error path where available; create theme fallback and test without exposing internals.
HTH-TPL-241,"I. Error, maintenance and system states",No-JavaScript state,Provide fallback or explicit limitation,Defined — platform/theme mapping required,Map host/plugin error path where available; create theme fallback and test without exposing internals.
HTH-TPL-242,"I. Error, maintenance and system states",Cookie-disabled state,Explain feature dependency only where relevant,Defined — platform/theme mapping required,Map host/plugin error path where available; create theme fallback and test without exposing internals.
HTH-TPL-243,"I. Error, maintenance and system states",Print failure / unavailable export,Provide recovery or manual print path,Defined — platform/theme mapping required,Map host/plugin error path where available; create theme fallback and test without exposing internals.
HTH-TPL-244,"I. Error, maintenance and system states",Broken media fallback,"Preserve layout, alt purpose and source link",Defined — platform/theme mapping required,Map host/plugin error path where available; create theme fallback and test without exposing internals.
