ID,Category,Template or Route / State,Reader Purpose,Completion Status,Remaining Gap / Next Action
HTH-TPL-124,F. Intelligence and application,Application landing,"Explain the task, value, limits and start action",Implemented for System Compatibility — must generalize across applications,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
HTH-TPL-125,F. Intelligence and application,Application introduction,Orient before data entry,Implemented for System Compatibility — must generalize across applications,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
HTH-TPL-126,F. Intelligence and application,Application input,Collect understandable inputs and explain why they matter,Implemented for System Compatibility — must generalize across applications,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
HTH-TPL-127,F. Intelligence and application,Multi-step application flow,Support progressive input without losing state,Defined — application-by-application implementation required,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
HTH-TPL-128,F. Intelligence and application,Application review step,Let the user verify inputs before calculation,Defined — application-by-application implementation required,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
HTH-TPL-129,F. Intelligence and application,Application result,"Show outcome, basis, limits and next action",Implemented for System Compatibility — must generalize across applications,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
HTH-TPL-130,F. Intelligence and application,Conditional result,Explain a result that depends on a condition,Implemented for System Compatibility — must generalize across applications,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
HTH-TPL-131,F. Intelligence and application,Conflicting result,Preserve conflicting evidence and stop false certainty,Implemented for System Compatibility — must generalize across applications,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
HTH-TPL-132,F. Intelligence and application,Unknown result,Show unknown without treating it as positive or negative,Implemented for System Compatibility — must generalize across applications,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
HTH-TPL-133,F. Intelligence and application,Insufficient-information result,Explain missing inputs and recovery,Implemented for System Compatibility — must generalize across applications,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
HTH-TPL-134,F. Intelligence and application,Safety stop,Stop an unsafe recommendation and show next action,Defined — application-by-application implementation required,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
HTH-TPL-135,F. Intelligence and application,Access stop,Stop when access or permission cannot be confirmed,Defined — application-by-application implementation required,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
HTH-TPL-136,F. Intelligence and application,Regulation stop,Stop when current jurisdiction rules are unverified,Defined — application-by-application implementation required,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
