ID,Category,Template or Route / State,Reader Purpose,Completion Status,Remaining Gap / Next Action
HTH-TPL-001,A. Global template parts,Primary header,"Orient, establish brand and primary routes",Implemented — needs v3 refinement,"Update logo integration, palette, typography and responsive behavior to v3."
HTH-TPL-002,A. Global template parts,Transparent / hero-overlay header,Keep navigation legible over cinematic imagery,Defined — implementation required,Add as governed variation or shared part and test all required states.
HTH-TPL-003,A. Global template parts,Compact mobile header,Preserve brand and actions on small screens,Defined — implementation required,Add as governed variation or shared part and test all required states.
HTH-TPL-004,A. Global template parts,Application header,Keep app task and exit path explicit,Defined — implementation required,Add as governed variation or shared part and test all required states.
HTH-TPL-005,A. Global template parts,Commerce header,Connect store to publication without visual fork,Defined — implementation required,Add as governed variation or shared part and test all required states.
HTH-TPL-006,A. Global template parts,Primary footer,"Close with navigation, trust and next action",Implemented — needs v3 refinement,"Update logo integration, palette, typography and responsive behavior to v3."
HTH-TPL-007,A. Global template parts,Compact footer,Provide minimal finish on focused routes,Defined — implementation required,Add as governed variation or shared part and test all required states.
HTH-TPL-008,A. Global template parts,Application footer,"Keep methodology, privacy and recovery visible",Defined — implementation required,Add as governed variation or shared part and test all required states.
HTH-TPL-009,A. Global template parts,Utility navigation,"Expose trust, search, account and commerce utilities",Defined — implementation required,Add as governed variation or shared part and test all required states.
HTH-TPL-010,A. Global template parts,Primary navigation,Route to editorial hubs and applications,Defined — implementation required,Add as governed variation or shared part and test all required states.
HTH-TPL-011,A. Global template parts,Mobile navigation,Provide full route access without cramped desktop behavior,Defined — implementation required,Add as governed variation or shared part and test all required states.
HTH-TPL-012,A. Global template parts,Search overlay,Support quick discovery without losing context,Defined — implementation required,Add as governed variation or shared part and test all required states.
HTH-TPL-013,A. Global template parts,Breadcrumbs,Show meaningful hierarchy and canonical path,Defined — implementation required,Add as governed variation or shared part and test all required states.
HTH-TPL-014,A. Global template parts,Announcement / alert bar,"Surface time-sensitive service, safety or commerce notices",Defined — implementation required,Add as governed variation or shared part and test all required states.
HTH-TPL-015,A. Global template parts,Article header,"Orient article type, title, lead, evidence and date",Defined — implementation required,Add as governed variation or shared part and test all required states.
HTH-TPL-016,A. Global template parts,Article footer,"Close with sources, correction, related pathways and next action",Defined — implementation required,Add as governed variation or shared part and test all required states.
HTH-TPL-017,A. Global template parts,Author / contributor block,State experience and role without inflation,Defined — implementation required,Add as governed variation or shared part and test all required states.
HTH-TPL-018,A. Global template parts,Source and review block,"Make evidence, freshness and unknowns visible",Defined — implementation required,Add as governed variation or shared part and test all required states.
HTH-TPL-019,A. Global template parts,Related-content block,Continue the reader job with relevant routes,Defined — implementation required,Add as governed variation or shared part and test all required states.
HTH-TPL-020,A. Global template parts,Cross-publication dispatch,Offer optional next step only after Hook answer is complete,Defined — implementation required,Add as governed variation or shared part and test all required states.
HTH-TPL-021,A. Global template parts,Newsletter block,Offer value-led subscription,Defined — implementation required,Add as governed variation or shared part and test all required states.
HTH-TPL-022,A. Global template parts,Disclosure block,Place proportionate affiliate/AI/editorial disclosure,Defined — implementation required,Add as governed variation or shared part and test all required states.
HTH-TPL-023,A. Global template parts,Comments area,Enable discussion only where moderated and useful,Defined — implementation required,Add as governed variation or shared part and test all required states.
HTH-TPL-024,A. Global template parts,Cookie / consent interface,Capture consent without obscuring the page,Defined — implementation required,Add as governed variation or shared part and test all required states.
HTH-TPL-025,A. Global template parts,Modal and drawer shells,Provide accessible overlays,Defined — implementation required,Add as governed variation or shared part and test all required states.
HTH-TPL-026,A. Global template parts,Print header and footer,"Identify publication, title, source date and page",Defined — implementation required,Add as governed variation or shared part and test all required states.
