ID,Category,Template or Route / State,Reader Purpose,Completion Status,Remaining Gap / Next Action
HTH-TPL-245,J. Responsive and alternate renderings,Large desktop,Define large desktop behavior for every applicable template,Defined in v3 authority — implementation and QA coverage required,Add representative visual regression/QA targets and route-level exceptions.
HTH-TPL-246,J. Responsive and alternate renderings,Standard desktop,Define standard desktop behavior for every applicable template,Defined in v3 authority — implementation and QA coverage required,Add representative visual regression/QA targets and route-level exceptions.
HTH-TPL-247,J. Responsive and alternate renderings,Tablet,Define tablet behavior for every applicable template,Defined in v3 authority — implementation and QA coverage required,Add representative visual regression/QA targets and route-level exceptions.
HTH-TPL-248,J. Responsive and alternate renderings,Mobile,Define mobile behavior for every applicable template,Defined in v3 authority — implementation and QA coverage required,Add representative visual regression/QA targets and route-level exceptions.
HTH-TPL-249,J. Responsive and alternate renderings,Small mobile,Define small mobile behavior for every applicable template,Defined in v3 authority — implementation and QA coverage required,Add representative visual regression/QA targets and route-level exceptions.
HTH-TPL-250,J. Responsive and alternate renderings,Landscape mobile,Define landscape mobile behavior for every applicable template,Defined in v3 authority — implementation and QA coverage required,Add representative visual regression/QA targets and route-level exceptions.
HTH-TPL-251,J. Responsive and alternate renderings,Dark visual treatment,Define dark visual treatment behavior for every applicable template,Defined in v3 authority — implementation and QA coverage required,Add representative visual regression/QA targets and route-level exceptions.
HTH-TPL-252,J. Responsive and alternate renderings,Light visual treatment,Define light visual treatment behavior for every applicable template,Defined in v3 authority — implementation and QA coverage required,Add representative visual regression/QA targets and route-level exceptions.
HTH-TPL-253,J. Responsive and alternate renderings,Reduced motion,Define reduced motion behavior for every applicable template,Defined in v3 authority — implementation and QA coverage required,Add representative visual regression/QA targets and route-level exceptions.
HTH-TPL-254,J. Responsive and alternate renderings,Forced colors,Define forced colors behavior for every applicable template,Defined in v3 authority — implementation and QA coverage required,Add representative visual regression/QA targets and route-level exceptions.
HTH-TPL-255,J. Responsive and alternate renderings,Increased text size,Define increased text size behavior for every applicable template,Defined in v3 authority — implementation and QA coverage required,Add representative visual regression/QA targets and route-level exceptions.
HTH-TPL-256,J. Responsive and alternate renderings,Keyboard-only,Define keyboard-only behavior for every applicable template,Defined in v3 authority — implementation and QA coverage required,Add representative visual regression/QA targets and route-level exceptions.
HTH-TPL-257,J. Responsive and alternate renderings,Screen-reader reading order,Define screen-reader reading order behavior for every applicable template,Defined in v3 authority — implementation and QA coverage required,Add representative visual regression/QA targets and route-level exceptions.
HTH-TPL-258,J. Responsive and alternate renderings,Print,Define print behavior for every applicable template,Defined in v3 authority — implementation and QA coverage required,Add representative visual regression/QA targets and route-level exceptions.
HTH-TPL-259,J. Responsive and alternate renderings,PDF / export,Define pdf / export behavior for every applicable template,Defined in v3 authority — implementation and QA coverage required,Add representative visual regression/QA targets and route-level exceptions.
HTH-TPL-260,J. Responsive and alternate renderings,Low-bandwidth media fallback,Define low-bandwidth media fallback behavior for every applicable template,Defined in v3 authority — implementation and QA coverage required,Add representative visual regression/QA targets and route-level exceptions.
